numThreads,type,microseconds
1,native-realistic,1183967
1,native-warm,2237
1,native-warm,607
1,native-warm,600
1,native-warm,600
1,native-warm,593
1,native-warm,593
1,native-warm,587
1,native-warm,580
1,native-warm,587
1,native-warm,584
1,native-warm,590
1,native-warm,580
1,native-warm,587
1,native-warm,577
1,native-warm,587
1,native-warm,587
1,native-warm,584
1,native-warm,583
1,native-warm,577
1,native-warm,580
1,native-warm,596
1,native-warm,593
1,native-warm,590
1,native-warm,584
1,native-warm,580
1,native-warm,583
1,native-warm,584
1,native-warm,576
1,native-warm,577
1,native-warm,577
1,native-warm,576
1,native-warm,577
1,native-warm,576
1,native-warm,587
1,native-warm,580
1,native-warm,573
1,native-warm,567
1,native-warm,583
1,native-warm,586
1,native-warm,580
1,native-warm,630
1,native-warm,580
1,native-warm,580
1,native-warm,566
1,native-warm,580
1,native-warm,583
1,native-warm,590
1,native-warm,587
1,native-warm,583
1,native-warm,570
1,native-warm,587
1,native-warm,570
1,native-warm,583
1,native-warm,576
1,native-warm,566
1,native-warm,583
1,native-warm,577
1,native-warm,577
1,native-warm,576
1,native-warm,566
1,native-warm,580
1,native-warm,570
1,native-warm,580
1,native-warm,580
1,native-warm,574
1,native-warm,577
1,native-warm,563
1,native-warm,577
1,native-warm,394
1,native-warm,396
1,native-warm,396
1,native-warm,386
1,native-warm,392
1,native-warm,396
1,native-warm,390
1,native-warm,386
1,native-warm,382
1,native-warm,386
1,native-warm,378
1,native-warm,388
1,native-warm,384
1,native-warm,384
1,native-warm,386
1,native-warm,392
1,native-warm,388
1,native-warm,390
1,native-warm,382
1,native-warm,414
1,native-warm,380
1,native-warm,378
1,native-warm,384
1,native-warm,384
1,native-warm,388
1,native-warm,384
1,native-warm,384
1,native-warm,382
1,native-warm,380
1,native-warm,380
1,native-warm,384
1,native-warm,388
1,native-warm,382
1,native-warm,384
1,native-warm,382
1,native-warm,390
1,native-warm,386
1,native-warm,382
1,native-warm,382
1,native-warm,386
1,native-warm,384
1,native-warm,390
1,native-warm,390
1,native-warm,388
1,native-warm,384
1,native-warm,378
1,native-warm,382
1,native-warm,378
1,native-warm,386
1,native-warm,386
1,native-warm,380
1,native-warm,380
1,native-warm,372
1,native-warm,384
1,native-warm,384
1,native-warm,382
1,native-warm,388
1,native-warm,384
1,native-warm,390
1,native-warm,390
1,native-warm,386
1,native-warm,382
1,native-warm,382
1,native-warm,376
1,native-warm,384
1,native-warm,382
1,native-warm,388
1,native-warm,388
1,native-warm,384
1,native-warm,386
1,native-warm,380
1,native-warm,386
1,native-warm,388
1,native-warm,394
1,native-warm,386
1,native-warm,382
1,native-warm,380
1,native-warm,380
1,native-warm,378
1,native-warm,384
1,native-warm,382
1,native-warm,384
1,native-warm,382
1,native-warm,386
1,native-warm,386
1,native-warm,384
1,native-warm,378
1,native-warm,386
1,native-warm,384
