iterations,numThreads,type,milliseconds
Small,1,Local,616013
Small,1,Local,746756
Small,2,Local,235940
Small,2,Local,308457
Small,4,Local,123315
Small,4,Local,123677
Small,6,Local,136523
Small,6,Local,86834
Small,8,Local,76128
Small,8,Local,70132
Small,10,Local,58835
Small,10,Local,58693
Small,12,Local,100264
Small,12,Local,61366
Small,14,Local,61384
Small,14,Local,56018
Small,16,Local,52359
Small,16,Local,56574
Small,18,Local,75670
Small,18,Local,67355
Small,20,Local,66218
Small,20,Local,75369
Small,22,Local,67876
Small,22,Local,77084
Small,24,Local,70551
Small,24,Local,68816
Small,26,Local,85545
Small,26,Local,74522
Small,28,Local,99420
Small,28,Local,81859
Small,30,Local,85057
Small,30,Local,86124
Small,32,Local,109535
Small,32,Local,99084
Small,34,Local,96110
Small,34,Local,105972
Small,36,Local,114010
Small,36,Local,121335
Small,38,Local,125710
Small,38,Local,110172
Small,40,Local,108323
Small,40,Local,120565
Huge,1,Local,32435979
Huge,1,Local,32524919
Huge,2,Local,16445945
Huge,2,Local,16450993
Huge,4,Local,8818811
Huge,4,Local,8786708
Huge,6,Local,6297252
Huge,6,Local,5922735
Huge,8,Local,4489798
Huge,8,Local,5017213
Huge,10,Local,4097233
Huge,10,Local,4132448
Huge,12,Local,3585405
Huge,12,Local,3601103
Huge,14,Local,3159801
Huge,14,Local,3165332
Huge,16,Local,2853750
Huge,16,Local,2980615
Huge,18,Local,2304501
Huge,18,Local,2815438
Huge,20,Local,2407224
Huge,20,Local,2131817
Huge,22,Local,2753090
Huge,22,Local,2466381
Huge,24,Local,2445253
Huge,24,Local,2341546
Huge,26,Local,2712509
Huge,26,Local,2298454
Huge,28,Local,2573372
Huge,28,Local,2110279
Huge,30,Local,2288215
Huge,30,Local,2582914
Huge,32,Local,2129463
Huge,32,Local,2262733
Huge,34,Local,2316068
Huge,34,Local,2412277
Huge,36,Local,2370104
Huge,36,Local,2159656
Huge,38,Local,2409457
Huge,38,Local,2175267
Huge,40,Local,2583134
Huge,40,Local,2587047
Small,1,Distributed,766695
Small,1,Distributed,394999
Small,2,Distributed,216880
Small,2,Distributed,275133
Small,4,Distributed,122303
Small,4,Distributed,123171
Small,6,Distributed,105398
Small,6,Distributed,83209
Small,8,Distributed,67424
Small,8,Distributed,66552
Small,10,Distributed,55598
Small,10,Distributed,57078
Small,12,Distributed,48275
Small,12,Distributed,71802
Small,14,Distributed,42873
Small,14,Distributed,42857
Small,16,Distributed,37908
Small,16,Distributed,38797
Small,18,Distributed,36479
Small,18,Distributed,35616
Small,20,Distributed,36039
Small,20,Distributed,37013
Small,22,Distributed,42606
Small,22,Distributed,70805
Small,24,Distributed,45613
Small,24,Distributed,45961
Small,26,Distributed,47076
Small,26,Distributed,43337
Small,28,Distributed,44505
Small,28,Distributed,46759
Small,30,Distributed,47390
Small,30,Distributed,44485
Small,32,Distributed,53211
Small,32,Distributed,44543
Small,34,Distributed,46783
Small,34,Distributed,49031
Small,36,Distributed,47162
Small,36,Distributed,48787
Small,38,Distributed,52178
Small,38,Distributed,51245
Small,40,Distributed,45635
Small,40,Distributed,57330
Huge,1,Distributed,31474873
Huge,1,Distributed,31404033
Huge,2,Distributed,16414105
Huge,2,Distributed,16445405
Huge,4,Distributed,8640322
Huge,4,Distributed,8645954
Huge,6,Distributed,6266730
Huge,6,Distributed,6251571
Huge,8,Distributed,4833661
Huge,8,Distributed,4367001
Huge,10,Distributed,4387838
Huge,10,Distributed,4032796
Huge,12,Distributed,3528472
Huge,12,Distributed,3699650
Huge,14,Distributed,3293346
Huge,14,Distributed,3111263
Huge,16,Distributed,2781622
Huge,16,Distributed,2775062
Huge,18,Distributed,2338027
Huge,18,Distributed,2793522
Huge,20,Distributed,2452587
Huge,20,Distributed,2364940
Huge,22,Distributed,3342355
Huge,22,Distributed,3588016
Huge,24,Distributed,3349074
Huge,24,Distributed,3535668
Huge,26,Distributed,3622834
Huge,26,Distributed,3281816
Huge,28,Distributed,3418934
Huge,28,Distributed,3103606
Huge,30,Distributed,3075014
Huge,30,Distributed,3401104
Huge,32,Distributed,3236478
Huge,32,Distributed,3233797
Huge,34,Distributed,3509735
Huge,34,Distributed,4130737
Huge,36,Distributed,3486033
Huge,36,Distributed,3965607
Huge,38,Distributed,3714848
Huge,38,Distributed,3334413
Huge,40,Distributed,3357461
Huge,40,Distributed,3841440
