Loop size,Number of threads,Number of workers,Time (ms),Throughput (ops/msec)
Huge,4,1,45069296,39.93849826276408
Huge,4,1,45362775,39.680112162450385
Huge,6,1,31791331,56.61920855090968
Huge,6,1,32267655,55.783415311710755
Huge,6,1,32203392,55.89473307656535
Huge,8,1,25073323,71.78944729424177
Huge,8,1,24660200,72.99210874202156
Huge,8,1,24744653,72.74298815182416
Huge,8,1,25066953,71.80769038821752
Huge,10,1,20646694,87.1810276260209
Huge,10,1,20493912,87.83096170218747
Huge,10,1,20911621,86.07654088604609
Huge,10,1,20129016,89.42314914946662
Huge,10,1,20866150,86.26411676327447
Huge,12,1,17193254,104.69222405485313
Huge,12,1,18021435,99.88105830640012
Huge,12,1,17747753,101.42128978243048
Huge,12,1,16784891,107.23930229871617
Huge,12,1,17327696,103.87993879855696
Huge,12,1,17019357,105.76192743356873
Huge,14,1,15643791,115.06162412934307
Huge,14,1,14928306,120.57630651461727
Huge,14,1,14934290,120.5279929611652
Huge,14,1,15175115,118.61524607886005
Huge,14,1,14926297,120.59253544264864
Huge,14,1,14931495,120.55055438186196
Huge,14,1,14934106,120.52947796138584
Huge,16,1,12898558,139.5504830850084
Huge,16,1,13085594,137.5558495854296
Huge,16,1,13120623,137.18860758364903
Huge,16,1,13139873,136.98762537507022
Huge,16,1,12802342,140.59927472645242
Huge,16,1,13154679,136.83344154578006
Huge,16,1,13134057,137.04828599419054
Huge,16,1,12818286,140.42439059325093
Huge,18,1,11738566,153.34070618165796
Huge,18,1,11988394,150.14521544754038
Huge,18,1,11738127,153.3464410463441
Huge,18,1,11739488,153.32866305583343
Huge,18,1,11660160,154.37180964926725
Huge,18,1,11746106,153.24227450356742
Huge,18,1,11424953,157.5498822620977
Huge,18,1,11588760,155.32291634307725
Huge,18,1,11734080,153.3993291336006
Huge,20,1,10640899,169.1586396976421
Huge,20,1,10100043,178.2170630362663
Huge,20,1,10348496,173.9383191528508
Huge,20,1,10615045,169.57064242308908
Huge,20,1,10304753,174.6766758989759
Huge,20,1,10635211,169.24911033735015
Huge,20,1,10221869,176.09304130193803
Huge,20,1,10615830,169.55810332305626
Huge,20,1,10634938,169.25345498017947
Huge,20,1,10120365,177.8591977660885
Huge,22,1,11302553,159.2560548046092
Huge,22,1,11509149,156.39731486663348
Huge,22,1,10825429,166.2751656308494
Huge,22,1,11767524,152.96335915694755
Huge,22,1,10870516,165.58551590375288
Huge,22,1,13114835,137.2491533442853
Huge,22,1,11534005,156.06027568047702
Huge,22,1,10975338,164.0040607405439
Huge,22,1,11770293,152.92737402543844
Huge,22,1,11215413,160.49342097344075
Huge,24,1,12257938,146.84362084389724
Huge,24,1,12492027,144.0919075823323
Huge,24,1,12128357,148.41251787031004
Huge,24,1,11568833,155.59045583940917
Huge,24,1,12724979,141.45406448214962
Huge,24,1,12991290,138.55436988936432
Huge,24,1,12382614,145.36510626916098
Huge,24,1,13450229,133.82671774584657
Huge,24,1,12705756,141.6680754769728
Huge,24,1,12792870,140.70337617751142
Huge,26,1,12827370,140.32494579948968
Huge,26,1,12597457,142.88598087693413
Huge,26,1,12140159,148.26823932042402
Huge,26,1,12158712,148.0419965535823
Huge,26,1,11875156,151.57695612588162
Huge,26,1,11992729,150.09094260363926
Huge,26,1,12708385,141.63876841943332
Huge,26,1,12000477,149.99403773699996
Huge,26,1,11796689,152.58518725042256
Huge,26,1,12398776,145.17562056125539
Huge,28,1,11687123,154.01566322182111
Huge,28,1,12142713,148.2370537786737
Huge,28,1,11866051,151.69326341172814
Huge,28,1,11276598,159.62260958491208
Huge,28,1,11923165,150.96662673040254
Huge,28,1,12090825,148.87321584755384
Huge,28,1,11978160,150.273497765934
Huge,28,1,11969489,150.38235968135314
Huge,28,1,12552143,143.4018079621942
Huge,28,1,12379058,145.40686375328397
Huge,30,1,11507311,156.42229535640428
Huge,30,1,11319892,159.0121177834559
Huge,30,1,11305502,159.21451342894812
Huge,30,1,11528887,156.12955526409442
Huge,30,1,11106674,162.06471892485544
Huge,30,1,10867138,165.63698740183474
Huge,30,1,10870183,165.5905884933124
Huge,30,1,11485079,156.72508652313144
Huge,30,1,11444132,157.28584745439846
Huge,30,1,11234950,160.2143311719233
Huge,32,1,10789113,166.83484545949239
Huge,32,1,11629661,154.77665256106778
Huge,32,1,11056457,162.8007959511804
Huge,32,1,11033221,163.14365496712156
Huge,32,1,10929289,164.69506845321774
Huge,32,1,11095801,162.22352942342786
Huge,32,1,10977394,163.97334376446724
Huge,32,1,10904967,165.0623977128954
Huge,32,1,11522917,156.210445671005
Huge,32,1,11247717,160.0324759237808
Huge,34,1,11161379,161.27039499330684
Huge,34,1,10983955,163.87539825135846
Huge,34,1,10956715,164.28281651936734
Huge,34,1,11641251,154.62255731793775
Huge,34,1,10821966,166.32837323643412
Huge,34,1,11258009,159.88617525532268
Huge,34,1,10911761,164.95962475717715
Huge,34,1,10710603,168.0577648149222
Huge,34,1,11204662,160.6474162272811
Huge,34,1,11005005,163.56194295232032
Huge,36,1,11135196,161.64960185703063
Huge,36,1,11212378,160.53686381247581
Huge,36,1,11095497,162.22797410517074
Huge,36,1,10898426,165.16146460048452
Huge,36,1,11116351,161.92363843135215
Huge,36,1,10913121,164.93906738503128
Huge,36,1,10963375,164.183018459188
Huge,36,1,11099005,162.1766996230743
Huge,36,1,10820233,166.35501287264333
Huge,36,1,11016033,163.39820332782227
Huge,38,1,11145491,161.5002874256504
Huge,38,1,10668960,168.713726548792
Huge,38,1,10632497,169.29231205049953
Huge,38,1,11212081,160.54111631908475
Huge,38,1,10556051,170.51831219837797
Huge,38,1,10841112,166.0346281820536
Huge,38,1,10744171,167.53270215077552
Huge,38,1,10968953,164.09952709251283
Huge,38,1,11128372,161.74872658821977
Huge,38,1,10887227,165.3313557253835
Huge,40,1,11031859,163.16379678166663
Huge,40,1,11033680,163.13686820716208
Huge,40,1,11210330,160.5661920746312
Huge,40,1,10732369,167.71693183490058
Huge,40,1,11019141,163.35211610415004
Huge,40,1,11815656,152.34025093486133
Huge,40,1,11074406,162.53693426085337
Huge,40,1,10888678,165.30932405201068
Huge,40,1,10827682,166.24056746402417
Huge,40,1,11542209,155.94935076985698
Huge,4,2,44076372,40.83820691957133
Huge,6,2,31431009,57.26828559655849
Huge,6,2,31440832,57.25039337381403
Huge,8,2,24768873,72.67185713294263
Huge,8,2,24375174,73.84562670198785
Huge,10,2,20537018,87.64660964897631
Huge,10,2,19840907,90.72165904512327
Huge,12,2,16460967,109.34959045844631
Huge,12,2,17023909,105.73364789485187
Huge,12,2,16703734,107.76033670076404
Huge,14,2,14497146,124.16236961399159
Huge,14,2,14539200,123.80323539121822
Huge,14,2,14521408,123.9549222775092
Huge,14,2,14518180,123.98248265278428
Huge,16,2,13067148,137.75002777958895
Huge,16,2,12632194,142.4930617753337
Huge,16,2,12863070,139.9354897392302
Huge,16,2,12651074,142.280410343027
Huge,18,2,11403373,157.84803320912158
Huge,18,2,11182794,160.96156291531437
Huge,18,2,11432698,157.44315121417534
Huge,18,2,11457822,157.0979196569819
Huge,20,2,10400137,173.0746431513354
Huge,20,2,10218468,176.15165012994117
Huge,20,2,10341362,174.05831069447137
Huge,20,2,10345124,173.99501446285225
Huge,20,2,10958996,164.24862277529803
Huge,22,2,9520157,189.07251214449508
Huge,22,2,9469579,190.08236797010719
Huge,22,2,9466155,190.1511226046901
Huge,22,2,9627011,186.9739216045354
Huge,22,2,9840802,182.91192120317024
Huge,24,2,8749294,205.73088525771337
Huge,24,2,8690881,207.11364014764442
Huge,24,2,8792055,204.73029342969303
Huge,24,2,8557715,210.33652090540522
Huge,24,2,8472000,212.46458923512748
Huge,26,2,7904355,227.7225655983316
Huge,26,2,7814092,230.35305957493202
Huge,26,2,8068027,223.1028726106147
Huge,26,2,8037972,223.93708263726228
Huge,26,2,8147384,220.92981010837346
Huge,28,2,7648573,235.33801664702682
Huge,28,2,7519486,239.37806387298284
Huge,28,2,7517962,239.42658928044597
Huge,28,2,7398689,243.2863443780378
Huge,28,2,8146320,220.95866599888046
Huge,30,2,7070342,254.58457313663186
Huge,30,2,7130158,252.44882371470592
Huge,30,2,7055637,255.11516536352426
Huge,30,2,7152800,251.6497036125713
Huge,30,2,7041660,255.6215437837101
Huge,32,2,6671636,269.79889190597333
Huge,32,2,6650197,270.66867342426104
Huge,32,2,6548694,274.86396524253536
Huge,32,2,6665572,270.0443412808383
Huge,32,2,6684798,269.26767271052915
Huge,34,2,6199785,290.3326486321704
Huge,34,2,6332742,284.2370650817608
Huge,34,2,6217837,289.48973734756964
Huge,34,2,6493635,277.1945143205616
Huge,34,2,6353775,283.29615071355215
Huge,36,2,6020366,298.9851447569799
Huge,36,2,6148649,292.74723601883926
Huge,36,2,5659591,318.044183758155
Huge,36,2,5988174,300.59246775394297
Huge,36,2,6240729,288.42784232419
Huge,38,2,9704738,185.47641368576873
Huge,38,2,9822927,183.24477011790887
Huge,38,2,9755574,184.509901723876
Huge,38,2,10510985,171.24941192476248
Huge,38,2,9708830,185.39824057069697
Huge,40,2,10142287,177.47476481389256
Huge,40,2,9888587,182.02802887814
Huge,40,2,10128747,177.71201116979228
Huge,40,2,9335507,192.81223826408143
Huge,40,2,10455377,172.16021956931823
