numThreads,loopsize,num workers,milliseconds
58,Medium,3,1053
58,Medium,3,1264
58,Medium,3,1237
58,Medium,3,1070
56,Medium,3,1054
56,Medium,3,1019
56,Medium,3,1029
56,Medium,3,1017
54,Medium,3,1149
54,Medium,3,1090
54,Medium,3,1000
54,Medium,3,1064
52,Medium,3,1097
52,Medium,3,1244
52,Medium,3,1105
52,Medium,3,1024
50,Medium,3,1122
50,Medium,3,1049
50,Medium,3,1091
50,Medium,3,1105
48,Medium,3,1116
48,Medium,3,983
48,Medium,3,1159
48,Medium,3,1138
46,Medium,3,1201
46,Medium,3,1084
46,Medium,3,1013
46,Medium,3,1125
44,Medium,3,1121
44,Medium,3,1105
44,Medium,3,934
44,Medium,3,1123
42,Medium,3,986
42,Medium,3,1297
42,Medium,3,1075
42,Medium,3,1022
40,Medium,3,1064
40,Medium,3,1241
40,Medium,3,1195
40,Medium,3,1198
38,Medium,3,1347
38,Medium,3,1218
38,Medium,3,1110
38,Medium,3,1214
36,Medium,2,1306
36,Medium,2,1141
36,Medium,2,1120
36,Medium,2,1106
34,Medium,2,1172
34,Medium,2,1184
34,Medium,2,1269
34,Medium,2,1294
32,Medium,2,1242
32,Medium,2,1343
32,Medium,2,1247
32,Medium,2,1354
30,Medium,2,1256
30,Medium,2,1381
30,Medium,2,1266
30,Medium,2,1379
28,Medium,2,1305
28,Medium,2,1383
28,Medium,2,1316
28,Medium,2,1290
26,Medium,2,1465
26,Medium,2,1335
26,Medium,2,1437
26,Medium,2,1349
24,Medium,2,1540
24,Medium,2,1413
24,Medium,2,1481
24,Medium,2,1410
22,Medium,2,1463
22,Medium,2,1530
22,Medium,2,1406
22,Medium,2,1445
20,Medium,2,1625
20,Medium,2,1475
20,Medium,2,1484
20,Medium,2,1591
18,Medium,1,1466
18,Medium,1,1526
18,Medium,1,1645
18,Medium,1,1550
16,Medium,1,1666
16,Medium,1,1722
16,Medium,1,1736
16,Medium,1,1728
14,Medium,1,1721
14,Medium,1,1865
14,Medium,1,1749
14,Medium,1,1830
12,Medium,1,1989
12,Medium,1,1761
12,Medium,1,1955
12,Medium,1,1968
10,Medium,1,1967
10,Medium,1,2002
10,Medium,1,2144
10,Medium,1,2326
58,Big,3,14306
54,Big,3,8676
50,Big,3,8964
46,Big,3,9937
42,Big,3,11129
38,Big,3,12008
34,Big,2,13126
30,Big,2,15228
26,Big,2,17222
22,Big,2,19638
18,Big,1,23779
14,Big,1,29870
10,Big,1,41453
