numThreads,type,microseconds
6,Big,9472
8,Big,6387
10,Big,5902
12,Big,5045
14,Big,4487
16,Big,4064
18,Big,3787
20,Big,3699
22,Big,3229
24,Big,2997
26,Big,2633
28,Big,2959
30,Big,2243
32,Big,2450
34,Big,2372
36,Big,2018
38,Big,2104
40,Big,1758
6,Big,9183
8,Big,7011
10,Big,5579
12,Big,5029
14,Big,4123
16,Big,3639
18,Big,3782
20,Big,2768
22,Big,2594
24,Big,3012
26,Big,2837
28,Big,2693
30,Big,2334
32,Big,2483
34,Big,1799
36,Big,2287
38,Big,2175
40,Big,1609
6,Big,9198
8,Big,6398
10,Big,5848
12,Big,5289
14,Big,3806
16,Big,3679
18,Big,3387
20,Big,3077
22,Big,2637
24,Big,3597
26,Big,2792
28,Big,2707
30,Big,2561
32,Big,2336
34,Big,2117
36,Big,2216
38,Big,1669
40,Big,1717
6,Big,8842
8,Big,7061
10,Big,5284
12,Big,5038
14,Big,4453
16,Big,3831
18,Big,3689
20,Big,3085
22,Big,2801
24,Big,3011
26,Big,2538
28,Big,2682
30,Big,2583
32,Big,2327
34,Big,2373
36,Big,2267
38,Big,1688
40,Big,2111
6,Small,226
8,Small,208
10,Small,193
12,Small,214
14,Small,185
16,Small,187
18,Small,179
20,Small,192
22,Small,182
24,Small,187
26,Small,184
28,Small,170
30,Small,166
32,Small,168
34,Small,173
36,Small,189
38,Small,186
40,Small,181
6,Big,8889
8,Big,7123
10,Big,5906
12,Big,5070
14,Big,4463
16,Big,3983
18,Big,3393
20,Big,3419
22,Big,2606
24,Big,3384
26,Big,2523
28,Big,2722
30,Big,2587
32,Big,2140
34,Big,2069
36,Big,2278
38,Big,2196
40,Big,2109
6,Big,8787
8,Big,6754
10,Big,5850
12,Big,5069
14,Big,3994
16,Big,4007
18,Big,3393
20,Big,3419
22,Big,2610
24,Big,2989
26,Big,2808
28,Big,2380
30,Big,2585
32,Big,2514
34,Big,2418
36,Big,2294
38,Big,1874
40,Big,2115
