numThreads,type,nanoseconds
8,Native,2221056
8,WasmMP,11046522
8,WasmMP,10790513
8,WasmMP,7256014
8,WasmMP,6278208
8,WasmMP,7128052
8,WasmMP,7857775
8,WasmMP,9765391
8,WasmMP,6834363
8,WasmMP,8332474
8,WasmMP,8270969
8,WasmMP,6643545
8,WasmMP,7683462
8,WasmMP,11325074
8,WasmMP,7026394
8,WasmMP,6839141
8,WasmMP,6389090
8,WasmMP,12240445
8,WasmMP,12289970
8,WasmMP,10772723
8,WasmMP,10244531
8,WasmMP,5236857
8,WasmMP,6519281
8,WasmMP,8227233
8,WasmMP,8397725
8,WasmMP,6095217
8,WasmMP,5746540
8,WasmMP,6630482
8,WasmMP,6702298
8,WasmMP,6083561
8,WasmMP,5705924
8,WasmMP,7011524
8,WasmMP,7294473
8,WasmMP,8064780
8,WasmMP,9104819
8,WasmMP,5969000
8,WasmMP,6611929
8,WasmMP,10828960
8,WasmMP,7291585
8,WasmMP,9091578
8,WasmMP,6104568
8,WasmMP,5960976
8,WasmMP,9219820
8,WasmMP,6012598
8,WasmMP,6062049
8,WasmMP,10426147
8,WasmMP,8807294
8,WasmMP,6252004
8,WasmMP,7817016
8,WasmMP,9006774
8,WasmMP,9683047
8,WasmMP,11602778
8,WasmMP,11487355
8,WasmMP,10317464
8,WasmMP,6269524
8,WasmMP,6039778
8,WasmMP,5638289
8,WasmMP,9031875
8,WasmMP,8057595
8,WasmMP,6082193
8,WasmMP,10891735
8,WasmMP,8807883
8,WasmMP,10175576
8,WasmMP,10505260
8,WasmMP,7816682
8,WasmMP,7347088
8,WasmMP,6572663
8,WasmMP,6124635
8,WasmMP,8489047
8,WasmMP,9634231
8,WasmMP,10538657
8,WasmMP,10674727
8,WasmMP,10340023
8,WasmMP,9033769
8,WasmMP,9854538
8,WasmMP,10759520
8,WasmMP,8388046
8,WasmMP,9011978
8,WasmMP,7707669
8,WasmMP,6105146
8,WasmMP,5470927
8,WasmMP,6845053
8,WasmMP,6553989
8,WasmMP,6015564
8,WasmMP,9132843
8,WasmMP,9998340
8,WasmMP,11014356
8,WasmMP,8851593
8,WasmMP,5350716
8,WasmMP,5602293
8,WasmMP,8588997
8,WasmMP,11118454
8,WasmMP,10483080
8,WasmMP,11226971
