iterations,numThreads,type,microseconds
Tiny,1,native,11916
Tiny,2,native,7707
Tiny,4,native,6476
Tiny,6,native,5803
Tiny,8,native,5409
Tiny,10,native,5186
Tiny,12,native,7040
Tiny,14,native,11076
Tiny,16,native,5836
Tiny,18,native,10507
Tiny,20,native,9524
Tiny,22,native,3524
Tiny,24,native,5485
Small,1,native,447001
Small,2,native,236863
Small,4,native,129751
Small,6,native,136982
Small,8,native,133147
Small,10,native,58863
Small,12,native,51373
Small,14,native,46125
Small,16,native,40233
Small,18,native,37578
Small,20,native,39084
Small,22,native,38939
Small,24,native,36774
Big,1,native,3878855
Big,2,native,2612658
Big,4,native,984157
Big,6,native,784527
Big,8,native,923186
Big,10,native,761228
Big,12,native,408283
Big,14,native,631525
Big,16,native,301849
Big,18,native,425280
Big,20,native,269339
Big,22,native,319258
Big,24,native,311211
Tiny,1,native,8786
Tiny,2,native,6949
Tiny,4,native,5397
Tiny,6,native,4812
Tiny,8,native,5275
Tiny,10,native,6528
Tiny,12,native,8073
Tiny,14,native,4413
Tiny,16,native,7045
Tiny,18,native,6957
Tiny,20,native,8737
Tiny,22,native,3666
Tiny,24,native,4503
Small,1,native,538859
Small,2,native,264511
Small,4,native,130626
Small,6,native,89793
Small,8,native,71436
Small,10,native,59219
Small,12,native,52370
Small,14,native,58180
Small,16,native,43715
Small,18,native,38066
Small,20,native,44509
Small,22,native,36824
Small,24,native,38297
Big,1,native,4117894
Big,2,native,2627867
Big,4,native,1565600
Big,6,native,1080622
Big,8,native,665595
Big,10,native,701489
Big,12,native,711778
Big,14,native,358710
Big,16,native,391970
Big,18,native,532149
Big,20,native,516518
Big,22,native,341148
Big,24,native,314446
Tiny,1,native,10792
Tiny,2,native,8932
Tiny,4,native,5620
Tiny,6,native,5040
Tiny,8,native,4009
Tiny,10,native,4647
Tiny,12,native,6750
Tiny,14,native,8085
Tiny,16,native,7736
Tiny,18,native,10567
Tiny,20,native,9197
Tiny,22,native,2976
Tiny,24,native,3588
Small,1,native,541318
Small,2,native,278070
Small,4,native,130611
Small,6,native,91741
Small,8,native,72164
Small,10,native,59784
Small,12,native,50260
Small,14,native,53827
Small,16,native,42494
Small,18,native,37690
Small,20,native,52999
Small,22,native,40192
Small,24,native,42198
Big,1,native,3794367
Big,2,native,1908689
Big,4,native,1564799
Big,6,native,697472
Big,8,native,866659
Big,10,native,533889
Big,12,native,406833
Big,14,native,351177
Big,16,native,499819
Big,18,native,403473
Big,20,native,399821
Big,22,native,293688
Big,24,native,434903
Tiny,1,native,10062
Tiny,2,native,7875
Tiny,4,native,6362
Tiny,6,native,5834
Tiny,8,native,5517
Tiny,10,native,8190
Tiny,12,native,7726
Tiny,14,native,6376
Tiny,16,native,5202
Tiny,18,native,10295
Tiny,20,native,7076
Tiny,22,native,3515
Tiny,24,native,4443
Small,1,native,614600
Small,2,native,250405
Small,4,native,130353
Small,6,native,168997
Small,8,native,71634
Small,10,native,60071
Small,12,native,51221
Small,14,native,44627
Small,16,native,41770
Small,18,native,35835
Small,20,native,41114
Small,22,native,56712
Small,24,native,39495
Big,1,native,3829872
Big,2,native,2617933
Big,4,native,984567
Big,6,native,700824
Big,8,native,728587
Big,10,native,805039
Big,12,native,525228
Big,14,native,463452
Big,16,native,350912
Big,18,native,275948
Big,20,native,386439
Big,22,native,322753
Big,24,native,275275
Tiny,1,native,5384
Tiny,2,native,5126
Tiny,4,native,4180
Tiny,6,native,4185
Tiny,8,native,5099
Tiny,10,native,3511
Tiny,12,native,3717
Tiny,14,native,6660
Tiny,16,native,7324
Tiny,18,native,6047
Tiny,20,native,11928
Tiny,22,native,3703
Tiny,24,native,2983
Small,1,native,382484
Small,2,native,203101
Small,4,native,129687
Small,6,native,91631
Small,8,native,72013
Small,10,native,58576
Small,12,native,49749
Small,14,native,45105
Small,16,native,40116
Small,18,native,45154
Small,20,native,40461
Small,22,native,35506
Small,24,native,37764
Big,1,native,3740867
Big,2,native,2622365
Big,4,native,980243
Big,6,native,808394
Big,8,native,911073
Big,10,native,698489
Big,12,native,699803
Big,14,native,352182
Big,16,native,589511
Big,18,native,279425
Big,20,native,339066
Big,22,native,329907
Big,24,native,295033
Tiny,1,native,9335
Tiny,2,native,6088
Tiny,4,native,5429
Tiny,6,native,4464
Tiny,8,native,4091
Tiny,10,native,6279
Tiny,12,native,5497
Tiny,14,native,4170
Tiny,16,native,7824
Tiny,18,native,9174
Tiny,20,native,9263
Tiny,22,native,3234
Tiny,24,native,2928
Small,1,native,375678
Small,2,native,243763
Small,4,native,197231
Small,6,native,90610
Small,8,native,69522
Small,10,native,58870
Small,12,native,51191
Small,14,native,61344
Small,16,native,42633
Small,18,native,36604
Small,20,native,41397
Small,22,native,35892
Small,24,native,38586
Big,1,native,3736029
Big,2,native,2608908
Big,4,native,979260
Big,6,native,700942
Big,8,native,761733
Big,10,native,483593
Big,12,native,407009
Big,14,native,625598
Big,16,native,304252
Big,18,native,402771
Big,20,native,248690
Big,22,native,368378
Big,24,native,328958
Tiny,1,native,9883
Tiny,2,native,7374
Tiny,4,native,4676
Tiny,6,native,4317
Tiny,8,native,4380
Tiny,10,native,5069
Tiny,12,native,7680
Tiny,14,native,4670
Tiny,16,native,6732
Tiny,18,native,8015
Tiny,20,native,9760
Tiny,22,native,3541
Tiny,24,native,3485
Small,1,native,479809
Small,2,native,248886
Small,4,native,130329
Small,6,native,91539
Small,8,native,71721
Small,10,native,57680
Small,12,native,51178
Small,14,native,45777
Small,16,native,39796
Small,18,native,49332
Small,20,native,44055
Small,22,native,42745
Small,24,native,38543
Big,1,native,3816416
Big,2,native,2615915
Big,4,native,1325669
Big,6,native,1168640
Big,8,native,587890
Big,10,native,556929
Big,12,native,553008
Big,14,native,516342
Big,16,native,441460
Big,18,native,280989
Big,20,native,268651
Big,22,native,293106
Big,24,native,282476
Tiny,1,native,7993
Tiny,2,native,5449
Tiny,4,native,5686
Tiny,6,native,3451
Tiny,8,native,3625
Tiny,10,native,4299
Tiny,12,native,6917
Tiny,14,native,6183
Tiny,16,native,4588
Tiny,18,native,11120
Tiny,20,native,7808
Tiny,22,native,3605
Tiny,24,native,3585
Small,1,native,621869
Small,2,native,204169
Small,4,native,108240
Small,6,native,91696
Small,8,native,97842
Small,10,native,59235
Small,12,native,51689
Small,14,native,46126
Small,16,native,40117
Small,18,native,37602
Small,20,native,31814
Small,22,native,36843
Small,24,native,38408
Big,1,native,4099293
Big,2,native,1914344
Big,4,native,1565179
Big,6,native,1169773
Big,8,native,603634
Big,10,native,661104
Big,12,native,699255
Big,14,native,352716
Big,16,native,589919
Big,18,native,279147
Big,20,native,348427
Big,22,native,319251
Big,24,native,295454
Tiny,1,native,8436
Tiny,2,native,6911
Tiny,4,native,4628
Tiny,6,native,3846
Tiny,8,native,4234
Tiny,10,native,4328
Tiny,12,native,6546
Tiny,14,native,7009
Tiny,16,native,12208
Tiny,18,native,5912
Tiny,20,native,9759
Tiny,22,native,4274
Tiny,24,native,3742
Small,1,native,547136
Small,2,native,420362
Small,4,native,131843
Small,6,native,170831
Small,8,native,70986
Small,10,native,59566
Small,12,native,49354
Small,14,native,44694
Small,16,native,42523
Small,18,native,36594
Small,20,native,35797
Small,22,native,53367
Small,24,native,36692
Big,1,native,3849064
Big,2,native,2610604
Big,4,native,1013545
Big,6,native,708473
Big,8,native,786934
Big,10,native,485873
Big,12,native,406653
Big,14,native,633023
Big,16,native,308035
Big,18,native,461318
Big,20,native,322380
Big,22,native,300285
Big,24,native,339521
Tiny,1,native,8694
Tiny,2,native,7698
Tiny,4,native,5087
Tiny,6,native,3995
Tiny,8,native,5334
Tiny,10,native,4438
Tiny,12,native,7459
Tiny,14,native,4918
Tiny,16,native,6819
Tiny,18,native,8057
Tiny,20,native,11206
Tiny,22,native,3819
Tiny,24,native,3351
Small,1,native,615327
Small,2,native,246694
Small,4,native,130546
Small,6,native,92029
Small,8,native,118685
Small,10,native,58972
Small,12,native,51493
Small,14,native,47511
Small,16,native,41787
Small,18,native,37580
Small,20,native,50199
Small,22,native,40093
Small,24,native,45837
Big,1,native,4154498
Big,2,native,2317389
Big,4,native,1566277
Big,6,native,700652
Big,8,native,898136
Big,10,native,483776
Big,12,native,407362
Big,14,native,326301
Big,16,native,456622
Big,18,native,288335
Big,20,native,250979
Big,22,native,295238
Big,24,native,284607
Tiny,1,native,7412
Tiny,2,native,5499
Tiny,4,native,4190
Tiny,6,native,4081
Tiny,8,native,3044
Tiny,10,native,6002
Tiny,12,native,5205
Tiny,14,native,6887
Tiny,16,native,4387
Tiny,18,native,6788
Tiny,20,native,10679
Tiny,22,native,3563
Tiny,24,native,3025
Small,1,native,674399
Small,2,native,212609
Small,4,native,108164
Small,6,native,152620
Small,8,native,67056
Small,10,native,59883
Small,12,native,49560
Small,14,native,44426
Small,16,native,40566
Small,18,native,36611
Small,20,native,40674
Small,22,native,37148
Small,24,native,48968
Big,1,native,3814697
Big,2,native,2629992
Big,4,native,1563820
Big,6,native,742983
Big,8,native,844805
Big,10,native,480109
Big,12,native,408525
